Company,Net_Profit_Sum,Cluster
3i Infotech Ltd,-2524.35,9
Adroit Infotech Ltd,-5.699999999999999,8
AION-TECH SOLUTIONS Ltd,18.009999999999998,0
Allied Digital Services Ltd,49.55,7
ASM Technologies Ltd,99.87,6
Bartronics India Ltd,-318.5,9
Birlasoft Ltd,2278.75,6
Cambridge Technology Enterprises Ltd,34.07,7
CG-Vak Software and Exports Ltd,51.300000000000004,7
COFORGE LIMITED Ltd,4329.05,6
Cranes Software International Ltd,-527.1899999999999,9
Cybertech Systems and Software Ltd,116.67,6
Cyient Ltd,4632.76,6
Danlaw Technologies India Ltd,37.77,7
Datamatics Global Services Ltd,604.14,6
Dynacons Systems and Solutions Ltd,164.47,6
Elnet Technologies Ltd,116.98,6
Expleo Solutions Ltd,491.23,6
FCS Software Solutions Ltd,-86.41,9
Genesys International Corporation Ltd,66.57,6
HCL Technologies Ltd,99119.74,6
Infosys Ltd,199413.0,6
Inspirisys Solutions Ltd,-59.0,9
IZMO Ltd,24.75,7
Jeevan Scientific Technology Ltd,18.55,0
Kellton Tech Solutions Ltd,103.07,6
Kernex Microsystems (India) Ltd,-99.99,9
Mastek Ltd,612.32,6
Megasoft Ltd,27.0,7
MphasiS Ltd,10733.21,6
Nettlinx Ltd,23.330000000000002,7
Onward Technologies Ltd,111.27,6
Oracle Financial Services Software Ltd,16431.99,6
Persistent Systems Ltd,5572.18,6
R Systems International Ltd,921.8,6
Sasken Technologies Ltd,1167.76,6
SBSJHVHSV Ltd,35.01,7
Securekloud Technologies Ltd,-18.29,9
Softsol India Ltd,65.75,6
Sonata Software Ltd,2140.91,6
Starcom Information Technology Ltd,-25.9,9
Tata Consultancy Services Ltd,352709.24,6
Tech Mahindra Ltd,40828.43,6
Tera Software Ltd,46.01,7
Trigyn Technologies Ltd,23.650000000000002,7
VEDAVAAG Systems Ltd,75.26,6
WEP Solutions Ltd,21.51,0
Wipro Ltd,101365.6,6
Xchanging Solutions Ltd,505.37,6
Xtglobal Infotech Ltd,29.62,7
Zensar Technologies Ltd,3111.02,6
