Total income from operations,Employees cost,depreciat,Other expenses,"P/l before other inc. , int., excpt. items & tax",Other income,"P/l before int., excpt. items & tax",Interest,P/l before exceptional items & tax,Tax,Net profit/(loss) for the period
53.1,22.69,2.45,22.11,5.85,3.73,9.58,1.93,7.65,0,21.75
58.63,28.07,2.68,46.09,-18.21,4.69,-13.52,2.15,-15.67,0,-12.42
46.86,30.42,3.16,27.48,-14.2,3.27,-10.93,2.23,-13.16,0,-21.77
54.01,24.11,4.4,20.72,4.78,1.6,6.38,2.45,3.93,0,20.86
62.58,32.91,4.49,4.88,20.3,3.39,23.69,-1.85,25.54,0,25.54
68.62,42.39,4.5,7.04,14.69,2.19,16.88,2.36,14.52,0,6.77
82.78,37.48,5.02,51.41,-11.13,0.9,-10.23,2.17,-12.4,0,-15.3
89.77,52.28,6.11,40.06,-8.68,1.62,-7.06,1.94,-9,0,-9
89.4,50.49,6.46,18.72,13.73,1.95,15.68,2.15,13.53,0,13.53
0,0,0.03,0.01,-0.04,0,-0.04,0,-0.04,0,-0.04
0.03,0,0.03,0.01,-0.02,0,-0.02,0,-0.02,0,-0.02
0.02,0.03,0.04,0.01,-0.06,0,-0.06,0,-0.06,0,-0.06
0.3,0.03,0.03,0.26,-0.02,0,-0.02,0,-0.02,0,-0.02
1.21,0.39,0.03,0.55,0.24,0,0.24,0,0.24,0,0.24
7.27,0.66,0.03,0.08,1.08,0,1.08,0,1.08,0,1.08
1.19,0.34,0.27,0.26,0.32,0.01,0.33,0,0.33,0,-0.24
1.37,0.65,0,0.19,0.53,0,0.53,0,0.53,0,0.53
3.47,0.29,0,0.54,0.65,0.03,0.68,0,0.68,0,0.68
4.26,0.41,0,0.26,0.72,0,0.72,0,0.72,0,0.72
1.31,0.51,0.02,0.35,0.2,0.27,0.48,0,0.48,0,0.48
1.12,0.54,0.01,0.22,0.35,0,0.35,0,0.35,0,0.35
1.07,0.54,0.01,0.18,0.34,0,0.34,0,0.34,0,0.34
1.03,0.45,0.01,0.19,0.37,0,0.37,0,0.37,0,0.37
0.98,0.43,-0.01,0.25,0.32,0.06,0.38,0,0.38,0.1,0.28
0.72,0.4,0,0.18,0.13,0.02,0.15,0.02,0.14,0.03,0.11
5.78,2.64,0.04,1.28,1.82,0.01,1.83,0.01,1.82,0.37,1.45
8.39,2.77,0.06,3.84,1.72,0.02,1.74,0.03,1.72,0.34,1.37
2.71,3.01,0.29,1.88,-2.46,0.05,-2.41,0.05,-2.46,-0.45,-2.01
3.97,2.85,0.14,2.63,-1.66,0,-1.66,0.04,-1.7,0,-1.7
4.91,2.43,0.13,1.73,0.62,0.05,0.67,0.06,0.62,0,0.62
3.66,2.18,0.14,0.63,0.72,0,0.72,0.06,0.66,0,0.66
1.88,1.79,0.14,0.98,-1.03,0.13,-0.9,0.02,-0.92,-0.06,-0.86
1.7,1.36,0.08,0.71,-0.45,0,-0.45,0.04,-0.49,0,-0.49
1.71,1.04,0.09,0.52,0.06,0.06,0.12,0.04,0.08,0,0.08
2.61,1.5,0.09,0.87,0.14,0.07,0.21,0.03,0.18,0,0.18
2,0.89,0.06,0.56,0.49,0.01,0.5,0.1,0.41,-0.03,-14.1
1.77,1.12,0.03,0.29,0.33,0.09,0.42,0.04,0.38,0,0.38
1.86,0.99,0.03,0.24,0.6,0,0.6,0.06,0.54,0,0.54
1.94,0.94,0.03,0.34,0.63,0,0.63,0.03,0.59,0,0.59
0.6,0.24,0.99,0.19,-0.82,0.8,-0.01,0.06,-0.07,0.03,-1.53
1.99,0.54,0.26,0.27,0.92,0,0.92,0.04,0.89,0.23,0.66
2.22,1.07,0.26,0.38,0.51,0,0.51,0.04,0.47,0.12,0.35
1.26,0.44,0.19,0.25,0.38,0.04,0.42,0.03,0.39,0,0.39
0.91,1.16,0.37,0.45,-1.08,0.08,-1,0.07,-1.07,-0.01,-1.13
1.14,0.38,0.29,0.19,0.28,0.01,0.28,0.04,0.24,0,0.24
1.37,0.24,0.29,0.31,0.52,0.03,0.56,0.04,0.51,-0.02,0.53
1.33,0.25,0.29,0.39,0.4,0.01,0.41,0.04,0.37,-0.01,0.38
1.66,0.28,0.38,1.17,-0.17,0.05,-0.12,0.15,-0.27,-0.49,0.22
1.21,0.29,0.28,0.43,0.21,0.05,0.26,0.03,0.23,0,0.24
1.61,0.34,0.28,0.59,0.4,0.01,0.41,0.04,0.36,-0.04,0.4
1.47,0.36,0.28,0.41,0.42,0.01,0.43,0.02,0.41,-0.01,0.42
1.59,0.54,0.28,0.63,0.14,0.9,1.04,0.01,1.03,0,1.02
1.52,0.42,0.26,0.66,0.19,0.24,0.43,0.08,0.35,0,0.35
1.52,0.45,0.33,0.55,0.18,0.29,0.47,0.17,0.3,0.05,0.25
