Quarterly Results of Adani Ports and Special Economic Zone(in Rs. Cr.),Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,
Net Sales/Income from operations,"1,890.43","1,963.59","1,886.67","1,529.79","1,426.61",
Other Operating Income,--,--,--,--,--,
Total Income From Operations,"1,890.43","1,963.59","1,886.67","1,529.79","1,426.61",
EXPENDITURE,,,,,,
Consumption of Raw Materials,--,--,--,--,--,
Purchase of Traded Goods,--,--,--,--,--,
Increase/Decrease in Stocks,--,--,--,--,--,
Power & Fuel,--,--,--,--,--,
Employees Cost,88.07,109.53,65.76,71.27,86.37,
depreciat,163.77,162.44,167.51,165.46,160.18,
Excise Duty,--,--,--,--,--,
Admin. And Selling Expenses,--,--,--,--,--,
R & D Expenses,--,--,--,--,--,
Provisions And Contingencies,--,--,--,--,--,
Exp. Capitalised,--,--,--,--,--,
Other Expenses,742.66,657.43,637.02,777.05,364.33,
"P/L Before Other Inc. , Int., Excpt. Items & Tax",895.93,"1,034.19","1,016.38",516.01,815.73,
Other Income,851.51,523.75,587.51,415.93,450.17,
"P/L Before Int., Excpt. Items & Tax","1,747.44","1,557.94","1,603.89",931.94,"1,265.90",
Interest,655.03,731.47,794.31,618.80,683.13,
P/L Before Exceptional Items & Tax,"1,092.41",826.47,809.58,313.14,582.77,
Exceptional Items,--,--,--,--,--,
P/L Before Tax,"1,092.41",826.47,809.58,313.14,582.77,
Tax,316.42,203.57,284.09,117.25,188.66,
P/L After Tax from Ordinary Activities,775.99,622.90,525.49,195.89,394.11,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,775.99,622.90,525.49,195.89,394.11,
Equity Share Capital,432.03,432.03,432.03,432.03,432.03,
Reserves Excluding Revaluation Reserves,--,--,--,--,--,
Equity Dividend Rate (%),--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,3.59,2.88,2.43,0.91,1.82,
Diluted EPS,3.59,2.88,2.43,0.91,1.82,
EPS After Extra Ordinary,,,,,,
Basic EPS.,3.59,2.88,2.43,0.91,1.82,
Diluted EPS.,3.59,2.88,2.43,0.91,1.82,
Public Share Holding,,,,,,
No Of Shares (Crores),--,--,--,--,--,
Share Holding (%),--,--,--,--,--,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
"- Per. of shares (as a % of the total sh. of prom. and promoter
													group)",--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,--,--,
"- Per. of shares (as a % of the total sh. of prom. and promoter
													group).",--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,
